Metro,Date,ZORI,ZHVI,Income,Population,AffordabilityRatio
"Colorado Springs, CO",2016-05-31,1143.998534464739,258702.2161329668,89792.0,768832.0,2.881127674324737
"Boulder, CO",2016-05-31,1626.3884389467803,474738.6815933224,95363.0,326831.0,4.978227211741686
"Pueblo, CO",2016-05-31,821.8881361450035,143052.25527478778,65161.0,169422.0,2.1953661741653407
"Grand Junction, CO",2016-05-31,923.4903243327566,217818.7458564672,64722.0,159681.0,3.365451405340799
"Colorado Springs, CO",2016-06-30,1157.4664178776611,260563.60201715995,89792.0,768832.0,2.901857648979419
"Boulder, CO",2016-06-30,1620.315140456948,479735.6619326488,95363.0,326831.0,5.030626783266558
"Pueblo, CO",2016-06-30,828.2223682570184,144155.77171716603,65161.0,169422.0,2.2123014029429573
"Grand Junction, CO",2016-06-30,928.9258176419736,218634.04466625387,64722.0,159681.0,3.3780483400737595
"Colorado Springs, CO",2016-07-31,1159.644992464467,262166.08713210275,89792.0,768832.0,2.9197042847035677
"Boulder, CO",2016-07-31,1617.798667404915,483356.35154875874,95363.0,326831.0,5.068594229929414
"Pueblo, CO",2016-07-31,833.8584388361439,145222.2265872855,65161.0,169422.0,2.2286678624834715
"Grand Junction, CO",2016-07-31,934.9231693367154,219132.690339426,64722.0,159681.0,3.3857527631937514
"Colorado Springs, CO",2016-08-31,1169.6598404067372,263572.5582733893,89792.0,768832.0,2.935367942282044
"Boulder, CO",2016-08-31,1611.017976573644,486261.1660946896,95363.0,326831.0,5.09905483358
"Pueblo, CO",2016-08-31,831.1812491789565,146036.08579184595,65161.0,169422.0,2.2411578366177
"Grand Junction, CO",2016-08-31,935.0898873618286,219546.3963409431,64722.0,159681.0,3.3921448091984656
"Colorado Springs, CO",2016-09-30,1171.6706246723568,265074.1476114402,89792.0,768832.0,2.9520909169128675
"Boulder, CO",2016-09-30,1610.9018220278497,488635.36397670937,95363.0,326831.0,5.12395125967838
"Pueblo, CO",2016-09-30,841.0603774788025,147232.07771533783,65161.0,169422.0,2.2595122498939215
"Grand Junction, CO",2016-09-30,935.0093027345245,220024.73787287856,64722.0,159681.0,3.399535519187889
"Colorado Springs, CO",2016-10-31,1178.3567769965896,266852.4164164442,89792.0,768832.0,2.971895229156764
"Boulder, CO",2016-10-31,1594.7749088111657,491326.3789348272,95363.0,326831.0,5.152169907981368
"Pueblo, CO",2016-10-31,839.0011424485976,148583.20550942313,65161.0,169422.0,2.280247471791764
"Grand Junction, CO",2016-10-31,930.63802502081,220495.1444698301,64722.0,159681.0,3.4068036289025385
"Colorado Springs, CO",2016-11-30,1175.1372265568882,268965.4302698914,89792.0,768832.0,2.9954275466621905
"Boulder, CO",2016-11-30,1596.3756139208774,494736.299348668,95363.0,326831.0,5.187927176668813
"Pueblo, CO",2016-11-30,834.9018394598139,150138.19739788107,65161.0,169422.0,2.304111315017895
"Grand Junction, CO",2016-11-30,924.962544909074,221242.6243878161,64722.0,159681.0,3.4183527144991825
"Colorado Springs, CO",2016-12-31,1175.185694524839,271266.15889913746,89792.0,768832.0,3.0210504153948845
